,name,year,release_date,artists,id,duration_ms,explicit,valence,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
74093,Yin Yang Girl,2015,2015-08-24,['Morgan Wallen'],1jYHeWuwdAcaI7D97GTxF2,207827,0,0.757,0.0912,0.528,0.904,0.0,0,0.0424,-4.939,1,57,0.0387,170.048
74094,Intro,2015,2015-03-31,['NF'],65kWtHIqg2IACNR9KP4KOS,199400,0,0.0749,0.8,0.555,0.852,0.0,0,0.0813,-4.83,0,60,0.149,113.048
74095,Roots,2015,2015-08-27,['Imagine Dragons'],4GITtbZtRCQXhWLMXrWXHt,174507,0,0.596,0.7070000000000001,0.637,0.887,0.00188,7,0.326,-5.444,0,65,0.227,157.759
74096,TLC,2015,2015-01-02,['Sy Ari Da Kid'],4NLxeMlW2JQ2WFg3hVlMsd,188120,0,0.288,0.269,0.561,0.247,7.28e-06,8,0.132,-12.877,0,61,0.327,125.707
74097,Seppuku (feat. Suicideboy$ & Jgrxxn),2015,2015-09-16,"['Ghostemane', '$uicideBoy$', 'JGRXXN']",0AQXOzjEG2ofwGrDyqUY7H,183937,1,0.191,0.11,0.8140000000000001,0.74,2.28e-05,10,0.12,-5.438,0,61,0.0947,120.098
74098,Multi-Love,2015,2015-05-26,['Unknown Mortal Orchestra'],0PEXp5yk0sx9dJ8JzwvjJb,250800,0,0.545,0.5710000000000001,0.784,0.506,0.0,3,0.139,-5.242999999999999,0,64,0.0403,120.141
74099,Crazy In Love - Remix,2015,2015-09-04,['Beyoncé'],2f4IuijXLxYOeBncS60GUD,226400,0,0.26,0.0619,0.23,0.6940000000000001,0.00191,7,0.112,-6.827999999999999,0,69,0.109,172.75099999999995
74100,Cast No Stones,2015,2015-01-12,['Cody Jinks'],5X9XScdWmHaX6PGi9aKsSw,316020,0,0.298,0.00775,0.498,0.537,0.00324,8,0.105,-6.602,1,57,0.0292,122.965
74101,Blasé (feat. Future & Rae Sremmurd),2015,2015-11-13,"['Ty Dolla $ign', 'Future', 'Rae Sremmurd']",5suEtW2DUAfvroohjzgatb,285240,1,0.291,0.0219,0.897,0.642,1.31e-06,2,0.159,-8.828,1,58,0.0534,127.984
74102,Love Broke Thru,2015,2015-08-07,['TobyMac'],1NZWiuy0mlnsrcYL2dhKt6,237147,0,0.5429999999999999,0.0101,0.672,0.893,0.0,0,0.0934,-3.984,1,58,0.0337,102.98
74103,Sleigh Ride,2015,2015-10-30,['Pentatonix'],0ErjxyZ4qHQVs5umCBIClk,136547,0,0.87,0.459,0.745,0.487,0.0,1,0.271,-8.943,1,59,0.029,107.992
74104,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",2015,2015-05-12,['Hailee Steinfeld'],6W5RmgWh46p9RQ4LDezHKE,178320,0,0.278,0.327,0.52,0.623,0.0,3,0.127,-6.35,1,66,0.0711,148.22799999999995
74105,White Blood,2015,2015-09-04,['Oh Wonder'],3sZfQB5uYTJmA4QnB8dv7P,257427,0,0.0819,0.845,0.477,0.229,0.000446,0,0.196,-14.402,1,64,0.0555,131.28
74106,Nowhere Fast,2015,2015-11-06,['Old Dominion'],6arLnfArtdWKOcCYzDd4rS,188960,0,0.48,0.46,0.7879999999999999,0.488,4.52e-06,7,0.0751,-7.319,1,59,0.0286,101.974
74107,Boyz with Fun,2015,2015-04-29,['BTS'],1pePqg6hTMeaTZNNECqT03,244156,0,0.7509999999999999,0.0808,0.7040000000000001,0.959,0.0,1,0.383,-2.607,0,67,0.192,116.024
74108,Go Hard or Go Home,2015,2015-03-17,"['Wiz Khalifa', 'Iggy Azalea']",2QJnTfMpNG05KFf2E3gVIJ,232773,0,0.386,0.00293,0.6509999999999999,0.741,1.2e-05,4,0.217,-5.067,0,61,0.0408,168.02
74109,Cool for the Summer,2015,2015-10-16,['Demi Lovato'],2zFF6jG5hQArbzcXz3KUWk,214740,1,0.336,0.00425,0.583,0.61,0.000105,5,0.14,-5.638999999999999,0,63,0.0382,114.06
74110,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",2015,2015-08-07,['James Bay'],1zJpJ3HPRtAYYNLWm5BJEf,261120,0,0.328,0.743,0.652,0.18,4.04e-06,5,0.71,-9.735,0,66,0.111,115.218
74111,No Pressure,2015,2015-11-13,"['Justin Bieber', 'Big Sean']",23UV8pJEvRnAZd6ZAXBC0H,286853,0,0.5539999999999999,0.121,0.644,0.595,0.0,1,0.279,-6.877000000000002,1,65,0.215,148.889
74112,War of Hearts,2015,2015-01-20,['Ruelle'],4vWeIrIQQrbThS11ogLTmu,226427,0,0.257,0.0316,0.494,0.713,0.374,9,0.0602,-7.487,0,66,0.0776,147.959
74113,One Hell Of An Amen,2015,2015-01-01,['Brantley Gilbert'],2XEl9DfBj88c8p2bdfx1qu,221467,0,0.5489999999999999,0.0139,0.5479999999999999,0.665,2.72e-06,1,0.0769,-5.622000000000001,1,56,0.0281,138.055
74114,6 Man,2015,2015-02-12,['Drake'],4kdfjhj9xNkYU0R8xlDy8k,167653,1,0.326,0.217,0.568,0.535,0.0,4,0.114,-9.306,1,60,0.513,83.589
74115,lavender blood,2015,2015-01-06,['Fox Academy'],4sXwt3StCVkgLyxxvgVXrq,158786,0,0.205,0.986,0.356,0.162,0.0337,1,0.11,-16.848,1,60,0.0372,83.28299999999999
74116,Death with Dignity,2015,2015-03-31,['Sufjan Stevens'],4fpEuKIzTLmMJnYwFU0oqr,239508,0,0.383,0.986,0.51,0.16,0.017,4,0.113,-21.03,1,64,0.0395,170.063
74117,Love Me Like You,2015,2015-11-06,['Little Mix'],6L2uVVPJA9WcDc7zCZ4DHN,197787,0,0.8220000000000001,0.211,0.7829999999999999,0.63,0.0,7,0.3,-4.985,1,68,0.044,106.053
74118,Dance of the Sugar Plum Fairy,2015,2015-10-30,['Pentatonix'],0u0TlASkQWH2bGIZRu0HLh,126893,0,0.482,0.115,0.412,0.371,0.079,1,0.334,-10.24,0,59,0.0335,149.876
74119,Que no quede huella,2015,2015-12-01,['Bronco'],4PUqAQKmOSkptDZapZKO93,177893,0,0.941,0.301,0.705,0.7709999999999999,7.06e-06,9,0.0763,-6.473,0,56,0.0428,79.095
74120,Hark! The Herald Angels Sing,2015,2015-10-30,['Pentatonix'],7DG0w4DhCctrvlXIai22yg,192573,0,0.5529999999999999,0.138,0.521,0.691,0.0,4,0.0957,-5.754,1,59,0.221,117.056
74121,As You Are,2015,2015-08-28,['The Weeknd'],3H3qBumaYj67PT3aMEBvAP,340493,1,0.0528,0.131,0.377,0.329,0.00654,0,0.279,-9.67,0,63,0.0569,173.66299999999995
74122,Ghost Ship,2015,2015-04-24,['Blur'],61JDaStnXY3vbaEjliB5WA,299133,0,0.857,0.0324,0.8029999999999999,0.722,0.00264,2,0.0763,-6.421,1,65,0.0377,139.981
74123,Unknown Legend,2015,2015-11-20,"['Shovels & Rope', 'Shakey Graves']",6INaSJ4clfZ8pvXSGZQnJ7,268667,0,0.539,0.12,0.5870000000000001,0.731,5.78e-06,7,0.132,-5.6320000000000014,1,57,0.0398,110.936
74124,The River,2015,2015-10-02,['Jordan Feliz'],1mSMwIW4ZK6DVl499FvDPv,195507,0,0.823,0.102,0.65,0.909,0.0,10,0.344,-5.015,0,58,0.0352,124.007
74125,I'm In Love With a Monster,2015,2015-08-14,['Fifth Harmony'],0hO71r8vbnrXSaXVrR9ptF,211932,0,0.868,0.0597,0.6659999999999999,0.812,0.0,6,0.0603,-4.07,0,64,0.0647,145.059
74126,Sexual Healing - Kygo Remix,2015,2015-04-27,"['Marvin Gaye', 'Kygo']",0r6b45jIxQGsaWU4t6OMol,368317,0,0.6459999999999999,0.321,0.6890000000000001,0.68,0.0211,0,0.0431,-7.1960000000000015,0,67,0.0427,100.987
74127,Sinking Deep,2015,2015-01-13,['Hillsong Young & Free'],3QntQwzIBV704yqCHLLmyH,247373,0,0.108,0.599,0.544,0.243,0.0,10,0.11,-11.825,1,56,0.0277,140.048
74128,Me U & Hennessy (feat. Lil Wayne),2015,2015-04-20,"['DeJ Loaf', 'Lil Wayne']",4TSDz7xZtxIXeKwiOuCe25,224972,1,0.216,0.56,0.417,0.551,0.0,2,0.129,-8.361,1,59,0.272,86.848
74129,Death & Taxes,2015,2015-11-12,['Daniel Caesar'],7HnkUNPrhRurdGEm9nRYFH,305081,0,0.209,0.8029999999999999,0.448,0.328,9.34e-05,7,0.347,-11.132,1,60,0.0351,113.941
74130,Asking for It,2015,2015-09-18,['Shinedown'],3Tp7y0bLogDQsIO5tTTOH4,210707,0,0.414,0.00273,0.449,0.971,0.0,10,0.141,-3.66,1,59,0.0476,144.031
74131,When I Rule the World,2015,2015-07-17,['LIZ'],7nu0Lc0jJltztDxsGeoPiG,185813,0,0.8240000000000001,0.00951,0.768,0.633,0.0,8,0.199,-4.089,0,61,0.157,129.07399999999998
74132,Hurricane,2015,2015-08-28,['Halsey'],5Dg2h1wsm7ZijCo0yLmbvR,223082,0,0.486,0.00823,0.586,0.83,0.0028,0,0.348,-5.375,1,61,0.0416,120.017
74133,Just Imagine It,2015,2015-07-24,['MKTO'],0mtmrbRFsectINNpHdDkUQ,250747,0,0.443,0.0466,0.6990000000000001,0.7609999999999999,0.0,10,0.107,-4.337,1,62,0.0457,120.044
74134,Is There Somewhere,2015,2015-04-14,['Halsey'],5XijWLBY0vwl5MPUpQA2Ha,211669,0,0.181,0.126,0.507,0.5529999999999999,0.000175,9,0.087,-7.62,1,60,0.046,130.072
74135,Chillax (feat. Ky-Mani Marley),2015,2015-10-23,"['Farruko', 'Ky-Mani Marley']",1lxswgIpzV6HhENRvkflES,197840,0,0.512,0.0724,0.8270000000000001,0.6459999999999999,0.0,1,0.247,-4.727,0,69,0.0766,92.057
74136,Last Breath,2015,2015-11-20,['Future'],4Arjo1XR9qXsLstvU9fFV3,239800,1,0.152,0.431,0.675,0.758,0.00177,4,0.377,-4.589,0,66,0.0368,89.98200000000001
74137,"Dancing In The Dark - From The ""Home"" Soundtrack",2015,2015-03-23,['Rihanna'],3nlVjrlLMJHC7Flf9impf9,223040,0,0.762,0.177,0.795,0.75,0.0,1,0.0875,-3.604,1,57,0.0526,115.005
74138,Back Up (feat. Big Sean),2015,2015-07-31,"['DeJ Loaf', 'Big Sean']",0sr5LOMv4x0jmTYfe6oOvP,241267,1,0.435,0.147,0.816,0.535,4.53e-06,9,0.176,-8.302,1,59,0.338,80.012
74139,Gutter Girl,2015,2015-09-11,['Hot Flash Heat Wave'],1sEzuZNasuG8s1OOHwYfN2,224714,0,0.284,0.182,0.519,0.809,0.51,1,0.0951,-6.074,1,58,0.0646,111.986
74140,Cool for the Summer,2015,2015-01-01,['Demi Lovato'],3uwnnTQcHM1rDqSfA4gQNz,214740,1,0.336,0.00425,0.583,0.61,0.000105,5,0.14,-5.638999999999999,0,66,0.0382,114.06
74141,Johnny Boy's Bones,2015,2015-06-02,"['Colter Wall', 'The Dead South']",05j6LjbEdFWbASJUn9yOBX,176373,0,0.574,0.112,0.443,0.616,0.00219,7,0.0834,-7.193,0,57,0.0543,110.028
74142,"Writing's On The Wall - From ""Spectre"" Soundtrack",2015,2015-09-25,['Sam Smith'],1PWnAEQcbwQwK759otUbta,278987,0,0.0883,0.769,0.261,0.302,2.57e-06,5,0.0863,-8.19,0,68,0.0339,81.418
74143,Priceless,2015,2015-10-22,['for KING & COUNTRY'],7BTmtN6bP35E54vVASTqao,208520,0,0.66,0.00532,0.529,0.769,0.0,11,0.19,-6.369,1,58,0.0469,73.946
74144,Pornography,2015,2015-09-04,['Travis Scott'],2QeQNF182V61Im0QpjdVta,231827,1,0.343,0.105,0.603,0.649,0.0,11,0.7120000000000001,-5.8870000000000005,1,61,0.117,128.815
74145,I Got the Boy,2015,2015-10-09,['Jana Kramer'],6tbNaE7kvGNqS7FvJ0dzLB,201013,0,0.361,0.26,0.625,0.569,0.0,0,0.127,-5.954,1,57,0.0271,149.987
74146,Piece by Piece,2015,2015-02-27,['Kelly Clarkson'],2NELtMgQ8HSdrGrYQPLnC3,257747,0,0.601,0.000953,0.59,0.8079999999999999,1.53e-06,1,0.0918,-6.728,1,60,0.0408,106.029
74147,No Flex Zone,2015,2015-01-06,['Rae Sremmurd'],2L8cFPItBljPNJgPjTnuIf,231067,1,0.241,0.00433,0.925,0.518,0.0,8,0.0976,-5.831,1,60,0.106,120.064
74148,Watch Me (Whip / Nae Nae),2015,2015-05-04,['Silentó'],5RIVoVdkDLEygELLCniZFr,185143,0,0.962,0.247,0.821,0.759,0.0,8,0.321,-8.541,1,66,0.121,140.01
74149,Wit It This Christmas,2015,2015-12-18,['Ariana Grande'],2ZFX853E9oi99D6WaPYUg8,161280,0,0.398,0.124,0.648,0.319,0.0,5,0.376,-8.314,1,61,0.0352,128.041
74150,Notepad,2015,2015-03-31,['NF'],2QpFbRlnBo2TRhy5FyldSD,218600,0,0.118,0.0658,0.8,0.665,7.219999999999999e-05,8,0.1,-7.015,1,60,0.212,116.023
74151,Damn Good Friends (with Jason Aldean) - Duet with Jason Aldean,2015,2015-04-27,"['Tyler Farr', 'Jason Aldean']",7p7Htw2r4UavqvWv1O6omI,185520,0,0.631,0.0132,0.481,0.748,1.42e-05,7,0.0732,-3.841,1,57,0.0296,157.989
74152,"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)",2015,2015-10-23,"['DJ Khaled', 'Chris Brown', 'August Alsina', 'Future', 'Jeremih']",2Ima72UXnfvR539afL3SAF,293120,1,0.4370000000000001,0.195,0.525,0.6809999999999999,0.0,6,0.141,-4.158,0,60,0.0683,151.875
74153,Live From The Gutter,2015,2015-09-20,"['Drake', 'Future']",2uTG00P1DkhB97pdITkl2O,211643,1,0.307,0.0369,0.8240000000000001,0.49,1.24e-06,7,0.0807,-8.391,1,58,0.429,165.94799999999995
74154,Like Woah,2015,2015-11-13,['Logic'],6bM3GKo47KVgvj3gHdWS0U,232693,1,0.401,0.035,0.7170000000000001,0.907,0.0069599999999999,4,0.594,-4.457,0,58,0.0389,107.051
74155,Girl,2015,2015-04-07,['Jukebox The Ghost'],63OB8oKmBUUYiRtrRtFCvX,213787,0,0.841,0.479,0.605,0.615,0.0,8,0.1369999999999999,-5.617000000000001,1,57,0.0474,172.21099999999996
74156,Dream 1 (before the wind blows it all away) - Pt. 1,2015,2015,['Max Richter'],3FVy3aVs0TFzLv6FEiLqC2,153101,0,0.0866,0.995,0.214,0.00144,0.968,6,0.0998,-39.869,1,63,0.0487,72.046
74157,Young God,2015,2015-08-28,['Halsey'],5x2XIAdvFxWCwIOMNkbWUj,180088,1,0.198,0.324,0.449,0.599,4.09e-06,9,0.114,-6.509,0,61,0.0405,119.868
74158,A Dream Is a Wish Your Heart Makes,2015,2015-01-01,['Lily James'],3s6nfqfT6kyLBT10vs0M4l,120547,0,0.195,0.948,0.274,0.0724,1.45e-06,4,0.0801,-18.279,1,62,0.0395,139.381
74159,Electric Love - Oliver Remix,2015,2015-11-20,['BØRNS'],00Ci0EXS4fNPnkTbS6wkOh,253880,0,0.107,0.000965,0.53,0.77,0.0115,9,0.265,-5.8820000000000014,1,62,0.0824,184.537
74160,Lord Willin',2015,2015-11-13,['Logic'],4q6oNFTjZmJqkIgPdp8iR1,208667,1,0.5670000000000001,0.123,0.648,0.85,0.000347,6,0.0529,-4.248,0,58,0.0561,170.06099999999995
74161,Fool for Love,2015,2015-04-07,['Lord Huron'],77x96TdWdkIia82QqU35SD,274705,0,0.233,0.598,0.618,0.765,0.271,5,0.113,-6.268,1,56,0.0357,91.005
74162,Aftermath,2015,2015-10-16,['Caravan Palace'],3QuTLjEgI5v5gL7VxoE05e,185870,0,0.388,0.232,0.613,0.631,0.00362,3,0.284,-7.731,1,55,0.0411,140.002
74163,Used To,2015,2015-02-12,"['Drake', 'Lil Wayne']",63p3Slj0shAFP0Q7dQetj5,268480,1,0.304,0.0703,0.926,0.4270000000000001,0.000337,10,0.0818,-7.584,0,59,0.105,96.025
74164,Magnets,2015,2015-09-25,"['Disclosure', 'Lorde']",7nRmfGNhHKEEu5o8yFXLXt,199246,0,0.654,0.0626,0.7040000000000001,0.628,1.49e-06,10,0.103,-7.8820000000000014,0,64,0.162,92.005
74165,Dizzy On the Comedown,2015,2015-09-04,['Turnover'],0kCF7dfqwrw1YEf6LK0B1p,255773,0,0.264,0.431,0.619,0.632,8.61e-06,8,0.0897,-7.692,1,58,0.0274,114.966
74166,Pillow Talking (feat. Brain),2015,2015-07-31,"['Lil Dicky', 'Brain']",3ji3RdsWWyuuZyehLmYj0b,645876,1,0.416,0.5760000000000001,0.919,0.362,0.0,8,0.134,-8.331,1,58,0.368,104.987
74167,I Need Never Get Old,2015,2015-08-21,['Nathaniel Rateliff & The Night Sweats'],6YfEvtwpQwGAWZBWzNmoIw,253733,0,0.7659999999999999,0.00203,0.614,0.7440000000000001,0.0797,7,0.0664,-5.647,1,60,0.0407,135.093
74168,Couple of Kids,2015,2015-10-30,['Maggie Lindemann'],0aLJRIFLFZ0Tjr8XZb2uMX,222656,0,0.234,0.64,0.62,0.422,9.05e-06,4,0.213,-4.525,1,63,0.0309,128.154
74169,I Really Like You,2015,2015,['Carly Rae Jepsen'],2hHLbkatPwOOmrNxTiD41L,204764,0,0.586,0.00564,0.62,0.805,9.15e-05,5,0.285,-5.537999999999999,1,67,0.0417,122.062
74170,Lampshades on Fire,2015,2015-03-13,['Modest Mouse'],5jJ69cMDMC0aeWPjZo6VP2,187720,0,0.792,0.156,0.659,0.906,3.27e-06,7,0.105,-3.906,0,58,0.0428,94.997
74171,Let Me Hear,2015,2015-09-30,"['Fear, and Loathing in Las Vegas']",5sqkarfxe7UejHTlCtHCLS,225547,0,0.303,0.000145,0.175,0.995,2.5e-06,6,0.214,1.023,0,64,0.211,184.066
74172,If You Ever Wanna Be In Love - James Bay Spotify Session 2015,2015,2015-08-07,['James Bay'],359lSGQwvAM3aZA5UNwqiQ,236787,0,0.361,0.913,0.68,0.315,0.0,11,0.7120000000000001,-8.425,1,68,0.0391,117.614
74173,I'm Good,2015,2015-04-14,"[""The Mowgli's""]",5KQDGl3vAkNGyfvSbaW89E,166893,0,0.674,0.0115,0.612,0.921,0.0,0,0.166,-5.337999999999999,1,59,0.0705,96.042
74174,Versace (Remix),2015,2015-01-06,"['Migos', 'Drake']",0XGLsSU6wtfnKXiMNvQr61,246047,1,0.334,0.0218,0.845,0.705,0.0,6,0.339,-4.271,0,59,0.243,132.05
74175,4u,2015,2015-02-14,['blackbear'],1XcXhu1X0xBFMDFyq0b7Ue,158571,1,0.813,0.392,0.7759999999999999,0.513,0.0,5,0.0642,-6.7570000000000014,1,60,0.0872,153.934
74176,Missing You,2015,2015-04-07,['All Time Low'],0LSY3NePenK0VG7nRUTVk8,244824,0,0.4,0.0472,0.56,0.731,0.0,2,0.282,-6.121,1,60,0.0281,99.978
74177,Michael in the Bathroom,2015,2015-10-30,['George Salazar'],1L3wn1FJHmnv9OpjVbkMzY,297573,0,0.425,0.82,0.574,0.3720000000000001,0.0,4,0.115,-7.75,1,59,0.0616,118.545
74178,Come Over - Acoustic Mixtape,2015,2015-10-23,['Sam Hunt'],5ZuDo4T5NU7jg5y0yV2Otk,241867,0,0.211,0.812,0.373,0.431,0.0,2,0.0904,-7.979,1,58,0.0278,84.56700000000002
74179,Clubhouse,2015,2015-09-18,['Mac Miller'],7rdyAfIm1t6h6I1gyLtD17,180867,1,0.907,0.235,0.785,0.616,0.0,0,0.2,-5.9270000000000005,0,58,0.239,115.187
74180,On My Mind,2015,2015-11-06,['Ellie Goulding'],5a7NdkF09AfD0H607eiOkX,213445,0,0.743,0.258,0.7020000000000001,0.705,5.93e-06,0,0.0879,-6.666,1,65,0.0543,154.911
74181,You Want a Battle? (Here's a War),2015,2015-08-14,['Bullet For My Valentine'],1KCAEG6JcsTzi8ddZzs0nk,254613,0,0.283,3.21e-05,0.295,0.98,0.0,2,0.359,-4.075,0,63,0.0854,134.335
74182,Piénsalo - Inédita,2015,2015-08-28,['Banda MS de Sergio Lizárraga'],33i30iRaIfo7ABAaT5oqDy,155973,0,0.956,0.233,0.804,0.867,0.0,7,0.252,-4.381,1,65,0.0653,157.358
74183,Dreaming,2015,2015-03-24,['Smallpools'],6cMswWRv4lAU3mh5lclgCc,216253,0,0.8859999999999999,0.000478,0.612,0.89,0.0,10,0.0672,-2.827,0,60,0.047,118.989
74184,Mark My Words,2015,2015-11-13,['Justin Bieber'],2SnNaoNhMjC1WRMTWD8qTX,134347,0,0.519,0.88,0.383,0.256,2.69e-06,0,0.1689999999999999,-8.572000000000001,1,65,0.0332,114.188
74185,Sledgehammer,2015,2015-01-30,['Fifth Harmony'],4rUTAkOU7OkVGeQuyQCHhF,230907,0,0.289,0.0057,0.6709999999999999,0.777,0.0011,2,0.0783,-4.322,1,63,0.046,99.98
74186,All Your Favorite Bands,2015,2015-06-01,['Dawes'],0HOvoZ4m0aJp6vY4fVrI51,215360,0,0.369,0.777,0.4270000000000001,0.396,2e-06,7,0.102,-7.725,1,57,0.0304,133.131
74187,u,2015,2015-03-16,['Kendrick Lamar'],1bxEpNR75Hq3T2oF9AZjt8,268493,1,0.58,0.26,0.406,0.7979999999999999,0.0,11,0.461,-5.585,0,60,0.4320000000000001,71.547
74188,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",2015,2015-08-28,"['Sergei Rachmaninoff', 'Daniil Trifonov', 'Philadelphia Orchestra', 'Yannick Nézet-Séguin']",5xcYuTciYwyCDPkOgYBAYz,174653,0,0.0511,0.98,0.205,0.0525,0.906,1,0.103,-23.841,1,57,0.0327,88.316
74189,Fast,2015,2015-08-07,['Luke Bryan'],2gYiCTytrSRtuaHP1Nac6u,206213,0,0.557,0.2,0.5479999999999999,0.901,0.0,0,0.1,-2.637,0,57,0.0453,145.953
74190,Long Way Down,2015,2015-11-13,['One Direction'],2UFOh8iMQ2DON7sl3lqGJH,192160,0,0.539,0.0772,0.633,0.565,2.31e-05,0,0.168,-5.178999999999999,1,64,0.0242,145.001
74191,Sometimes I Cry,2015,2015-05-04,['Chris Stapleton'],0V6JZbCVSePUhqNdg7i68m,240293,0,0.412,0.27,0.568,0.329,0.00644,9,0.718,-10.638,0,57,0.0297,89.682
74192,Hood Politics,2015,2015-03-16,['Kendrick Lamar'],2UOYzhusMTypF7oAQwksCj,292520,1,0.369,0.145,0.731,0.6609999999999999,0.0,6,0.12,-6.562,0,59,0.376,87.912
74193,CLYDE (I Hope At Least One Of My Ex-Girlfriends Hears This),2015,2015-11-03,['$uicideBoy$'],0JkLImaybz8gfwyyPpslVW,152137,1,0.325,0.122,0.693,0.685,0.0,7,0.113,-5.276,1,59,0.0592,100.953
74194,Let Em' Know,2015,2015-10-02,['Bryson Tiller'],5QDGKcQLqOJvoiu8eScEaM,261880,1,0.178,0.0336,0.489,0.406,0.0,9,0.344,-11.44,1,59,0.232,110.551
74195,for you,2015,2015-07-19,['jhfly'],5hgX8pSZSOcKhsvzldsgWy,188611,0,0.477,0.7340000000000001,0.637,0.493,0.0576,10,0.28,-8.844,0,61,0.145,125.949
74196,King of Everything,2015,2015-10-16,['Wiz Khalifa'],1rZah1UGXvgiQCqLVlq4hS,222180,1,0.406,0.0294,0.758,0.7559999999999999,0.0,10,0.0906,-5.059,0,59,0.138,145.06799999999996
74197,True Love,2015,2015-12-18,['Ariana Grande'],4NRF1B6kriUmtXflcVmed7,166253,0,0.237,0.0763,0.561,0.368,1.99e-06,8,0.1,-7.351,1,60,0.0338,101.978
74198,Molly Cyrus,2015,2015-03-31,['Stitches'],4a17WC0Cf5hSKFD6ts57mk,164592,1,0.358,0.0966,0.778,0.917,0.0,6,0.119,-5.269,1,57,0.214,99.97
74199,Kings Never Die,2015,2015-07-24,"['Eminem', 'Gwen Stefani']",4uX7M3U4I1nsZ7SFM4XNCn,296133,1,0.0593,0.0275,0.7709999999999999,0.8959999999999999,0.0,4,0.204,-5.289,0,65,0.129,112.505
74200,Joy to the World,2015,2015-10-30,['Pentatonix'],28vlppNXOSeMYi6Mwou6qs,139880,0,0.8009999999999999,0.0561,0.605,0.583,0.0,6,0.328,-5.898,1,59,0.0316,95.026
74201,Psycho,2015,2015-06-04,['Muse'],383QXk8nb2YrARMUwDdjQS,316718,1,0.507,0.00114,0.555,0.883,0.041,2,0.868,-3.426,1,69,0.0341,125.02
74202,Back to Autumn,2015,2015-10-08,['Tall Heights'],3TdZbELsPLWYZAArGSfwyQ,199653,0,0.341,0.462,0.478,0.588,0.00109,8,0.069,-8.032,1,61,0.0304,110.918
74203,Monody (feat. Laura Brehm),2015,2015-11-07,"['TheFatRat', 'Laura Brehm']",3VvBPkc24zC7x05mgJTyGO,290467,0,0.224,0.114,0.53,0.69,0.00217,1,0.0969,-3.591,0,66,0.035,107.014
74204,Often - Kygo Remix,2015,2015-04-07,"['The Weeknd', 'Kygo']",27NV2KxoQ8WuLMqlTDI61F,234400,1,0.408,0.123,0.523,0.491,0.0,7,0.331,-9.876,0,65,0.0491,80.156
74205,Dirty Laundry,2015,2015-10-23,['Carrie Underwood'],5qRRiqndqXaq2QBudIrkYU,204093,0,0.5,0.0595,0.456,0.8740000000000001,1.12e-05,10,0.111,-4.129,0,57,0.114,200.179
74206,Rotten to the Core,2015,2015-01-01,"['Dove Cameron', 'Cameron Boyce', 'Booboo Stewart', 'Sofia Carson']",2bNxCVI4Fub8BAwr0CQDyd,162067,0,0.547,0.0506,0.693,0.8079999999999999,1.18e-06,4,0.578,-6.231,0,62,0.093,127.945
74207,Like I'm Gonna Lose You,2015,2015-10-09,['Jasmine Thompson'],2pV8RpdLemcyMWko8dASVt,232339,0,0.153,0.958,0.398,0.174,4.16e-06,0,0.158,-11.16,1,69,0.0364,172.15200000000004
74208,Ave Maria,2015,2015-09-18,"['Charles Gounod', 'Yo-Yo Ma']",2kyEgPaAW8wdpvevPnkf0Z,163267,0,0.14,0.993,0.132,0.0195,0.888,0,0.0569,-29.76,1,63,0.0445,81.616
74209,Silent Night,2015,2015-10-30,['Pentatonix'],75lWQzF7y0FY9380G3gEZ9,193227,0,0.149,0.934,0.186,0.107,0.0,5,0.297,-14.802,1,58,0.0347,107.095
74210,Home Alone Tonight,2015,2015-08-07,"['Luke Bryan', 'Karen Fairchild']",0RE8WWlaCQM6M4XHUK3u7b,190773,0,0.4970000000000001,0.0796,0.501,0.966,0.0,8,0.0903,-1.177,1,57,0.112,161.881
74211,New Thang,2015,2015-07-13,['Redfoo'],4PVm8e67skz8B8wiJP2kwk,226800,0,0.8140000000000001,0.0156,0.743,0.841,0.0,0,0.133,-5.189,1,68,0.0391,100.003
74212,Doomed,2015,2015-09-11,['Bring Me The Horizon'],3lPn81PFyKvXiyHhlkwkQ4,274133,1,0.22,0.00152,0.271,0.903,1.5e-05,6,0.189,-4.516,0,65,0.1369999999999999,147.159
74213,Avalanche,2015,2015-09-11,['Bring Me The Horizon'],4EyPadLFhtWojU7mkT5hqT,262013,0,0.285,2.97e-05,0.426,0.934,0.0089,7,0.113,-4.063,0,65,0.0685,160.077
74214,Floors,2015,2015-10-14,"['Abhi The Nomad', 'Foster Cazz']",5YHMaDiaGGYs5QyJ2CBDXJ,210341,0,0.32,0.513,0.613,0.857,0.00105,2,0.268,-7.002999999999999,1,57,0.0476,131.96200000000002
74215,Remember Me,2015,2015-12-04,['Jeremih'],2fUazQuDcmHbKYfPoXWpZU,175093,1,0.0386,0.6459999999999999,0.529,0.316,7.97e-05,1,0.106,-8.675,0,58,0.0518,133.714
74216,Using,2015,2015-06-16,['Sorority Noise'],5zXvIVOjU48L8TDnrnuvmg,164373,0,0.5479999999999999,0.217,0.741,0.526,3.61e-06,1,0.185,-7.001,0,57,0.052,119.944
